article_id,title,sentence,subject,object,relation
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지역 경제의 버팀목 역할을 해온 지방은행이 설 자리를 잃고 있다.,지방은행,설 자리,잃
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,자금력이 우수한 시중은행이 지방 영업을 확대하는 가운데 개인 고객마저 디지털 금융을 앞세운 인터넷전문은행에 빼앗기면서다.,시중은행,가운데 개인 고객마저 디지털 금융,
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,국내 최초 지방은행인 대구은행도 시중은행으로 간판을 바꿔 달았다.,,국내 최초 지방은행이ㄴ 대구은행도 시중은행으로 간판,바꾸
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지역 자금을 재투자하고 분배하는 지방은행에 대한 지원책이 필요하다는 지적이 나온다.,지적,지역 자금,나오
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,나 홀로 실적 뒷걸음질23일 금융권에 따르면 부산 대구 경남 광주 전북 등 5개 지방은행의 올해 1분기 합계 당기순이익은 4755억원으로 집계됐다.,,,올해 합계 당기 순이익 집계 되
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,부동산 프로젝트파이낸싱(PF) 충당금 확대 영향으로 지난해 1분기(4847억원)에 비해 1.9% 감소했다.,,,감소 하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,여·수신 확대에 힘입어 1분기 역대 최대 순이익을 달성한 카카오뱅크(1112억원)와 케이뱅크(507억원) 등 인터넷전문은행과 대조된다.홍콩 H지수 주가연계증권(ELS) 자율 배상 여파로 국민 신한 하나 우리 농협 등 5대 은행의 1분기 합계 순이익은 작년보다 22.8% 줄어든 3조3725억원을 기록했다.,,3조3725억원,기록 하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,하지만 일회성 비용인 홍콩 ELS 충당부채 1조6650억원을 더할 경우 5대 은행의 순이익은 5조375억원으로 작년 실적을 웃돈다.,,경우 5대 은행의 순이익은 5조375억원으로 작년 실적,웃돌
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,사실상 지방은행만 실적이 뒷걸음질했다는 분석이 나오는 이유다.앞으로가 더 문제다.,이유다.앞으로,,나오
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,은행의 핵심 경쟁력으로 꼽히는 조달과 대출에서 어려움을 겪고 있어서다.,,조달과 대출에서 어려움,겪
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지방은행은 금리가 연 0.1%에 그치는 요구불예금(수시입출식 예금) 등 저원가성 예금이 이탈하면서 조달 비용이 치솟고 있다.,조달 비용,,치솟
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,5개 지방은행의 작년 요구불예금 평잔액은 24조9386억원으로 전년보다 3조원 넘게 줄었다.,,,줄
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,2021년(29조4256억원)과 비교해선 5조원 가까이 급감했다.,,,급감 하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,반면 2021년 17조1975억원에 그친 인터넷은행 요구불예금 평잔액은 작년 43조692억원으로 2년 새 2.5배나 급증했다.지방은행은 대출 확대에도 애를 먹고 있다.,,대출 확대에도 애,먹
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,5개 지방은행의 작년 원화대출금은 전년보다 6.16% 늘어나는 데 그쳤다.,,,그치
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,같은 기간 인터넷은행 원화대출금이 37.3% 불어난 것과 비교하면 증가 속도가 더딘 편이다.,증가 속도,,비교 하
