article_id,title,sentence,subject,object,relation
A0001,11월 기록적 폭설에 車사고 60% 급증…보험료 인상 조짐,삼성화재가 지난 2019년부터 2022년까지 기상관측 자료와 보험사에 접수된 교통사고를 분석한 결과 겨울철 눈이 온 날의 교통사고 발생 건수는 눈이 오지 않은 날보다 17.6% 많았다.,삼성화재 분석결과겨울철눈 날교통사고발생건수눈,년년기상관측자료보험사접수교통사고,지나 오 오
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","금감원 관계자는 29일 하이브 상장 당시 최대주주였던 방시혁 의장이 사모펀드들과 맺은 주주 간 계약과 ""흔치 않은 일""이라며 ""선례 등을 살펴보며 법적 책임은 없는지, 주주 간에 이익을 나누기로 한 게 투자자들에게 얼마나 큰 영향을 미치는지 등을 검토할 것""이라고 밝혔다.",금감원관계자일하이브상장당시최대주주방시혁의장,선례등 주주간이익 게투자자크영향 등,맺 살펴보 나누 미치 밝히
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""",IPO로 사모펀드들이 일정 규모 이상의 주식 매각 차익을 보면 일부를 방 의장에게 나눠주기로 하는 계약을 맺은 것이다.,사모펀드,일정규모이상주식매각차익 일부 방의장계약,보 나누 맺
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""",우선 금감원은 증권신고서상 기재가 필요한 내용인지를 보기 위해 공시심사실을 중심으로 선례를 살필 예정이다.,금감원증권신고서기재,필요내용인지 공시심사실 중심선례,보 살피
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","주주 간 계약 체결 과정상의 문제를 보려면 불공정거래 조사에 착수해야 해, 조사가 필요한 사안인지 여부도 검토한다.",조사,주주간계약체결과정문제,보
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","한편 하이브는 이날 해명공시를 내고 ""상장 준비 과정에서 상장 주관사들에 해당 주주간계약을 제공한 바 있고, 상장 주관사들 또한 상장 관련 법령에 따라 해당 주주간계약을 검토했다""며 ""이와 관련해 상장 과정에서 당사가 관련 법령을 위반한 사항은 없다고 판단하고 있다""고 밝혔다.",이관련상장과정당사,한편하이브이날해명공시 상장준비과정상장관사해당주주간계약 상장관사상장관련법령해당주주간계약 관련법령,내 따르 밝히
A0003,원·달러 환율 오를까?,29일 오후 서울 중구 명동 환전소 앞을 외국인 관광객 등이 지나가고 있다.,외국인관광객등,일오후서울중구명동환전소앞,지나가
A0003,원·달러 환율 오를까?,"한편, 한국은행 금융통화위원회는 28일 금리를 연 3%로 0.25%포인트 인하해 원·달러 환율의 추가적인 상승 가능성이 우려되고 있다.",달러환율추가상승,한국은행금융통화위원회일금리,열
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","이처럼 경제 상황이 어려워진 국가들이 많아진 만큼, 비트코인 매수 전략을 택하는 투자자들이 늘어날 것이란 전망이다.",이경제상황 어렵국가 투자자,비트코인매수전략,늘어나
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",9만7500달러를 뚫으면 10만달러까지 상승할 수 있다는 전망이 우세하다.,달러상승수전망,달러,뚫
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","번스타인 ""현금 쌓아둔 미 중소기업, 마이크로스트래티지 전략 택할 듯"" 현금을 쌓은 미국 중소기업들이 비트코인에 투자할 수 있다는 전망이 나왔다.",미국중소기업 비트코인투자수전망,현금,쌓 마이크로스트래티지전략택하 쌓 나오
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","28일(현지시간) 더블록에 따르면 월스트리트 투자 은행 번스타인이 ""미국 대형 기술 기업들은 비트코인에 투자할 수 있는 현금이 충분하지만, 실제로 비트코인을 매수할 가능성은 높지 않다.",더블록월스트리트투자은행번스타인 미국대형기술기업비트코인투자수현금,비트코인,따르
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","번스타인은 ""핵심 사업이 약화되고 있으나 현금을 쌓아둔 중소기업의 경우, 마이크로스트래티지의 비트코인 매수 전략을 택할 수 있다""고 내다봤다.",핵심사업,약화현금 마이크로스트래티지의비트코인매수전략,쌓 내다보
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","번스타인은 ""이들 중소기업은 마이크로스트래티지의 최근 4년 성과가 얼마나 놀라웠고, 마이크로스트래티지가 하락장을 어떻게 버텼는지 지켜봤기 때문""이라고 분석 이유를 설명했다.",이중소기업마이크로스트래티지의최근년성과 마이크로스트래티지,하락장 분석이유,버티 지켜보
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",이후 블록체인 보안기업인 펙실드는 엑스티닷컴이 170만달러(약 24억원) 상당 가상자산을 탈취당한 것으로 추정된다고 밝혔다.,이후블록체인보안기업인펙실드엑스티닷컴,상당가상자산,탈취당하 밝히
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",28일(현지시간) 더마이너매거진(The MinerMag)에 따르면 비트코인 채굴 상장사 16곳이 올해 장비 업그레이드에만 36억달러를 지출한 것으로 나타났다.,비트코인채굴상장사곳,올해장비업그레이드달러,따르 나타나
