article_id,title,sentence,subject,object,relation
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지역 경제의 버팀목 역할을 해온 지방은행이 설 자리를 잃고 있다,아 오 지방은행,설자리,있
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,자금력이 우수한 시중은행이 지방 영업을 확대하는 가운데 개인 고객마저 디지털 금융을 앞세운 인터넷전문은행에 빼앗기면서다,시중은행,는 가운데개인고객 마저 디지털금융,빼앗기
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,국내 최초 지방은행인 대구은행도 시중은행으로 간판을 바꿔 달았다,,국내최초지방은행 대구은행 시중은행 으로 간판,바꾸
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지역 자금을 재투자하고 분배하는 지방은행에 대한 지원책이 필요하다는 지적이 나온다,다는 지적,지역자금,나오
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,○나 홀로 실적 뒷걸음질23일 금융권에 따르면 부산 대구 경남 광주 전북 등 5개 지방은행의 올해 1분기 합계 당기순이익은 4755억원으로 집계됐다,,나 홀로 실적뒷걸음질23일금융 권,되
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,부동산 프로젝트파이낸싱 충당금 확대 영향으로 지난해 1분기에 비해 1.,,부동산프로젝트파이낸싱충당금확대영향 으로 지난해1분기,비하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,9% 감소했다,,9 감소,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,여·수신 확대에 힘입어 1분기 역대 최대 순이익을 달성한 카카오뱅크와 케이뱅크 등 인터넷전문은행과 대조된다,,어 1분기역대최대순이익,되
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,8% 줄어든 3조3725억원을 기록했다,,3조3725억원,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,하지만 일회성 비용인 홍콩 ELS 충당부채 1조6650억원을 더할 경우 5대 은행의 순이익은 5조375억원으로 작년 실적을 웃돈다,,경우5대은행 의 순이익 5조375억원 으로 작년실적,웃돌
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,사실상 지방은행만 실적이 뒷걸음질했다는 분석이 나오는 이유다,았 다는 분석,뒷걸음질,나오
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,앞으로가 더 문제다,앞으로,,
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,은행의 핵심 경쟁력으로 꼽히는 조달과 대출에서 어려움을 겪고 있어서다,,는 조달 대출 에서 어려움,있
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지방은행은 금리가 연 0.,지방은행 금리,,열
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,1%에 그치는 요구불예금 등 저원가성 예금이 이탈하면서 조달 비용이 치솟고 있다,면서 조달비용,1,있
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,3조원 넘게 줄었다,,3조원,줄
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,2021년과 비교해선 5조원 가까이 급감했다,,2021년 비교,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,반면 2021년 17조1975억원에 그친 인터넷은행 요구불예금 평잔액은 작년 43조692억원으로 2년 새 2.,,반면2021년17조1975억원,그치
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,5배나 급증했다,,5배 나 급증,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지방은행은 대출 확대에도 애를 먹고 있다,,지방은행 대출확대 도 애,있
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,16% 늘어나는 데 그쳤다,,16,그치
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,같은 기간 인터넷은행 원화대출금이 37.,같 기간인터넷은행원화대출금,,
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,3% 불어난 것과 비교하면 증가 속도가 더딘 편이다,면 증가속도,3,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,권재중 BNK금융지주 최고재무책임자는 올 1분기 실적발표 콘퍼런스콜에서 “시중은행들이 지역 기업대출에 적극적으로 나서면서 부산·경남은행에서 대출 이탈이 있었다”고 설명했다,면서 부산 경남은행 에서 대출이탈,지역기업대출 적극 적 으로,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,○“시금고 유치 인센티브 줘야”지방은행은 지방자치단체·공공기관과 거래 활성화를 위한 제도 마련 등을 금융당국에 요청했다,,제도마련등,하
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지자체 금고와 공공기관 주거래은행으로 지정되면 저원가성 예금을 확보할 수 있어 자금 조달에도 숨통이 트인다,어 자금조달 도 숨통,면 저 원가성예금,트이
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,BNK·DGB·JB 등 3개 지방금융지주 회장들도 지난 3월 열린 이복현 금융감독원장과의 간담회에서 “시금고 선정 기준을 마련하는 행정안전부가 지방은행에 인센티브를 달라”고 건의했다,는 행정안전부,지방은행 인센티브,하
